frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags
"1741693366.514002000","142.251.42.78","192.168.86.193",,,
"1741693377.643089000","192.168.86.193","169.254.169.254","35026","80","0x0002"
"1741693377.730564000","192.168.86.193","192.168.86.88",,,
"1741693377.730749000","192.168.86.193","192.168.86.88",,,
"1741693377.767293000","192.168.86.88","192.168.86.193",,,
"1741693377.767584000","192.168.86.88","192.168.86.193",,,
"1741693377.769462000","192.168.86.193","13.107.13.93","42476","443","0x0002"
"1741693377.868489000","13.107.13.93","192.168.86.193","443","42476","0x0012"
"1741693377.868554000","192.168.86.193","13.107.13.93","42476","443","0x0010"
"1741693377.869602000","192.168.86.193","13.107.13.93","42476","443","0x0018"
"1741693378.084386000","13.107.13.93","192.168.86.193","443","42476","0x0010"
"1741693378.084388000","13.107.13.93","192.168.86.193","443","42476","0x0018"
"1741693378.084453000","192.168.86.193","13.107.13.93","42476","443","0x0010"
"1741693378.086664000","192.168.86.193","13.107.13.93","42476","443","0x0018"
"1741693378.289159000","13.107.13.93","192.168.86.193","443","42476","0x0010"
"1741693378.289215000","13.107.13.93","192.168.86.193","443","42476","0x0018"
"1741693378.289563000","192.168.86.193","13.107.13.93","42476","443","0x0010"
"1741693378.296891000","192.168.86.193","13.107.13.93","42476","443","0x0018"
"1741693378.389247000","13.107.13.93","192.168.86.193","443","42476","0x0010"
"1741693378.391252000","13.107.13.93","192.168.86.193","443","42476","0x0018"
"1741693378.392752000","13.107.13.93","192.168.86.193","443","42476","0x0010"
"1741693378.393102000","192.168.86.193","13.107.13.93","42476","443","0x0010"
"1741693378.393119000","13.107.13.93","192.168.86.193","443","42476","0x0018"
"1741693378.393120000","13.107.13.93","192.168.86.193","443","42476","0x0018"
"1741693378.393446000","192.168.86.193","13.107.13.93","42476","443","0x0010"
"1741693378.394345000","13.107.13.93","192.168.86.193","443","42476","0x0018"
"1741693378.434691000","192.168.86.193","13.107.13.93","42476","443","0x0010"
"1741693378.665855000","192.168.86.193","169.254.169.254","35026","80","0x0002"
"1741693378.668038000","35.206.80.10","192.168.86.193","443","46118","0x0010"
"1741693378.668068000","192.168.86.193","35.206.80.10","46118","443","0x0010"
"1741693379.689852000","192.168.86.193","169.254.169.254","35026","80","0x0002"
"1741693380.174060000","192.168.86.193","192.168.86.88",,,
"1741693380.174249000","192.168.86.193","192.168.86.88",,,
"1741693380.217584000","192.168.86.88","192.168.86.193",,,
"1741693380.244242000","192.168.86.88","192.168.86.193",,,
"1741693380.245724000","192.168.86.193","20.189.172.32","41646","443","0x0002"
"1741693380.541794000","20.189.172.32","192.168.86.193","443","41646","0x0012"
"1741693380.541833000","192.168.86.193","20.189.172.32","41646","443","0x0004"
"1741693382.057837000","192.168.86.193","172.217.194.188","47880","443","0x0010"
"1741693382.057928000","192.168.86.193","42.106.162.185","57414","443","0x0010"
"1741693382.115072000","42.106.162.185","192.168.86.193","443","57414","0x0010"
"1741693382.168086000","172.217.194.188","192.168.86.193","443","47880","0x0010"
"1741693382.410706000","192.168.86.193","13.107.13.93","42476","443","0x0011"
"1741693382.509926000","13.107.13.93","192.168.86.193","443","42476","0x0011"
"1741693382.509975000","192.168.86.193","13.107.13.93","42476","443","0x0010"
"1741693382.518591000","13.107.13.93","192.168.86.193","443","42476","0x0010"
"1741693382.518633000","192.168.86.193","13.107.13.93","42476","443","0x0010"
"1741693382.600989000","13.107.13.93","192.168.86.193","443","42476","0x0004"
"1741693387.373922000","192.168.86.193","57.144.177.32","33992","443","0x0018"
"1741693387.429088000","57.144.177.32","192.168.86.193","443","33992","0x0010"
"1741693387.608217000","57.144.177.32","192.168.86.193","443","33992","0x0018"
"1741693387.608266000","192.168.86.193","57.144.177.32","33992","443","0x0010"
"1741693389.672646000","192.168.86.193","13.107.13.93","60278","443","0x0002"
"1741693389.860519000","13.107.13.93","192.168.86.193","443","60278","0x0012"
"1741693389.860584000","192.168.86.193","13.107.13.93","60278","443","0x0010"
"1741693389.861362000","192.168.86.193","13.107.13.93","60278","443","0x0018"
"1741693390.065391000","13.107.13.93","192.168.86.193","443","60278","0x0010"
"1741693390.065446000","13.107.13.93","192.168.86.193","443","60278","0x0018"
"1741693390.065472000","192.168.86.193","13.107.13.93","60278","443","0x0010"
"1741693390.067677000","192.168.86.193","13.107.13.93","60278","443","0x0018"
"1741693390.271226000","13.107.13.93","192.168.86.193","443","60278","0x0010"
"1741693390.271229000","13.107.13.93","192.168.86.193","443","60278","0x0018"
"1741693390.271704000","192.168.86.193","13.107.13.93","60278","443","0x0010"
"1741693390.275994000","192.168.86.193","13.107.13.93","60278","443","0x0018"
"1741693390.475730000","13.107.13.93","192.168.86.193","443","60278","0x0010"
"1741693390.475732000","13.107.13.93","192.168.86.193","443","60278","0x0018"
"1741693390.475732000","13.107.13.93","192.168.86.193","443","60278","0x0018"
"1741693390.475733000","13.107.13.93","192.168.86.193","443","60278","0x0018"
"1741693390.476173000","192.168.86.193","13.107.13.93","60278","443","0x0010"
"1741693391.565509000","192.168.86.193","169.254.169.254","51340","80","0x0002"
"1741693391.570696000","192.168.86.193","169.254.169.254","51356","80","0x0002"
"1741693392.617821000","192.168.86.193","169.254.169.254","51356","80","0x0002"
"1741693392.617859000","192.168.86.193","169.254.169.254","51340","80","0x0002"
"1741693393.329471000","192.168.86.193","192.168.86.88",,,
"1741693393.329673000","192.168.86.193","192.168.86.88",,,
"1741693393.367803000","192.168.86.88","192.168.86.193",,,
"1741693393.368340000","192.168.86.88","192.168.86.193",,,
"1741693393.368941000","192.168.86.193","42.106.162.185","57414","443","0x0011"
"1741693393.369151000","192.168.86.193","20.207.73.85","39546","443","0x0002"
"1741693393.410517000","42.106.162.185","192.168.86.193","443","57414","0x0018"
"1741693393.410518000","42.106.162.185","192.168.86.193","443","57414","0x0011"
"1741693393.410580000","192.168.86.193","42.106.162.185","57414","443","0x0004"
"1741693393.410614000","192.168.86.193","42.106.162.185","57414","443","0x0004"
"1741693393.429387000","20.207.73.85","192.168.86.193","443","39546","0x0012"
"1741693393.429451000","192.168.86.193","20.207.73.85","39546","443","0x0010"
"1741693393.430933000","192.168.86.193","20.207.73.85","39546","443","0x0018"
"1741693393.438907000","42.106.162.185","192.168.86.193","443","57414","0x0014"
