"No.","Time","Source","Destination","Protocol","Length","Info"
"37","5.564039599","10.0.0.1","10.0.0.7","TCP","66","52836  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2449757733 TSecr=2177872056"
"38","5.564069329","10.0.0.1","10.0.0.7","iPerf3","103","52836  >  5201 Cookie: ""fe465yrq64exbucu5zzdxqomtpxhdkq6b3dv"""
"39","5.564089334","10.0.0.7","10.0.0.1","TCP","66","5201  >  52836 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2177872056 TSecr=2449757733"
"40","5.565304354","10.0.0.1","10.0.0.7","TCP","74","52850  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2449757734 TSecr=0 WS=512"
"41","5.565350365","10.0.0.7","10.0.0.1","TCP","74","5201  >  52850 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2177872057 TSecr=2449757734 WS=512"
"42","5.565366686","10.0.0.1","10.0.0.7","TCP","66","52850  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2449757734 TSecr=2177872057"
"43","5.565397474","10.0.0.1","10.0.0.7","iPerf3","103","52850  >  5201 Cookie: ""fe465yrq64exbucu5zzdxqomtpxhdkq6b3dv"""
"44","5.565417955","10.0.0.7","10.0.0.1","TCP","66","5201  >  52850 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2177872057 TSecr=2449757734"
"45","5.566656393","10.0.0.1","10.0.0.7","TCP","74","52860  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2449757735 TSecr=0 WS=512"
"46","5.566688823","10.0.0.7","10.0.0.1","TCP","74","5201  >  52860 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2177872058 TSecr=2449757735 WS=512"
