"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","fe80::6cd1:43ff:fead:975a","ff02::2","ICMPv6","70","Router Solicitation from 6e:d1:43:ad:97:5a"
"2","0.000121684","fe80::a03e:74ff:fe26:ebfb","ff02::2","ICMPv6","70","Router Solicitation from a2:3e:74:26:eb:fb"
"3","0.000531526","fe80::a4e1:aaff:fe29:2a15","ff02::2","ICMPv6","70","Router Solicitation from a6:e1:aa:29:2a:15"
"4","0.000979696","fe80::e0a2:14ff:fe9f:8e34","ff02::2","ICMPv6","70","Router Solicitation from e2:a2:14:9f:8e:34"
"5","1.024288398","fe80::3c5b:8bff:fea6:dffb","ff02::2","ICMPv6","70","Router Solicitation from 3e:5b:8b:a6:df:fb"
"6","1.024335508","fe80::d0d8:28ff:fea5:3759","ff02::2","ICMPv6","70","Router Solicitation from d2:d8:28:a5:37:59"
"7","7.036855221","a6:e1:aa:29:2a:15","Broadcast","ARP","42","Who has 10.0.0.7? Tell 10.0.0.3"
"8","7.037001412","d2:d8:28:a5:37:59","Broadcast","ARP","42","Who has 10.0.0.7? Tell 10.0.0.1"
"9","7.037314159","a2:3e:74:26:eb:fb","Broadcast","ARP","42","Who has 10.0.0.7? Tell 10.0.0.4"
"10","7.037761348","e2:a2:14:9f:8e:34","a6:e1:aa:29:2a:15","ARP","42","10.0.0.7 is at e2:a2:14:9f:8e:34"
"11","7.037778606","10.0.0.3","10.0.0.7","TCP","74","45212  >  5202 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=3234868935 TSecr=0 WS=512"
"12","7.038453047","10.0.0.7","10.0.0.3","TCP","74","5202  >  45212 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=3471097572 TSecr=3234868935 WS=512"
"13","7.038485106","10.0.0.3","10.0.0.7","TCP","66","45212  >  5202 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=3234868936 TSecr=3471097572"
