"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","fe80::fcdf:a0ff:fe11:b7d6","ff02::2","ICMPv6","70","Router Solicitation from fe:df:a0:11:b7:d6"
"2","0.000126422","fe80::14e3:8ff:fe06:5c1","ff02::2","ICMPv6","70","Router Solicitation from 16:e3:08:06:05:c1"
"3","0.001038627","fe80::eca6:f2ff:fe59:c53f","ff02::2","ICMPv6","70","Router Solicitation from ee:a6:f2:59:c5:3f"
"4","1.024507226","fe80::44b5:6eff:fefe:1144","ff02::2","ICMPv6","70","Router Solicitation from 46:b5:6e:fe:11:44"
"5","1.536141869","fe80::5c1e:d5ff:fea5:af24","ff02::2","ICMPv6","70","Router Solicitation from 5e:1e:d5:a5:af:24"
"6","1.536179927","fe80::54c1:d7ff:fedf:66d2","ff02::2","ICMPv6","70","Router Solicitation from 56:c1:d7:df:66:d2"
"7","1.536217324","fe80::9ca4:1ff:fe97:6318","ff02::2","ICMPv6","70","Router Solicitation from 9e:a4:01:97:63:18"
"8","1.616836450","fe80::493f:17d2:bdb8:fde3","ff02::2","ICMPv6","62","Router Solicitation"
"9","2.066988507","fe80::493f:17d2:bdb8:fde3","ff02::fb","MDNS","203","Standard query 0x0000 PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question"
"10","2.956212152","0.0.0.0","255.255.255.255","DHCP","334","DHCP Discover - Transaction ID 0x95af9eb7"
"11","4.281333006","fe:df:a0:11:b7:d6","Broadcast","ARP","42","Who has 10.0.0.7? Tell 10.0.0.1"
"12","4.281751775","56:c1:d7:df:66:d2","Broadcast","ARP","42","Who has 10.0.0.7? Tell 10.0.0.3"
"13","4.282670175","46:b5:6e:fe:11:44","fe:df:a0:11:b7:d6","ARP","42","10.0.0.7 is at 46:b5:6e:fe:11:44"
"14","4.282680204","10.0.0.1","10.0.0.7","TCP","74","34892  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2450143030 TSecr=0 WS=512"
"15","4.283919874","10.0.0.7","10.0.0.1","TCP","74","5201  >  34892 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2178257355 TSecr=2450143030 WS=512"
"16","4.283968389","10.0.0.1","10.0.0.7","TCP","66","34892  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2450143033 TSecr=2178257355"
"17","4.284046522","10.0.0.1","10.0.0.7","iPerf3","103","34892  >  5201 Cookie: ""ntz5fjhsmibtpqtgedvpnmwlqyejzjeo3s22"""
"18","4.284093405","10.0.0.7","10.0.0.1","TCP","66","5201  >  34892 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2178257356 TSecr=2450143033"
"19","4.284123254","10.0.0.7","10.0.0.1","iPerf3","67","5201  >  34892 PARAM_EXCHANGE(9)"
"20","4.284138292","10.0.0.1","10.0.0.7","TCP","66","34892  >  5201 [ACK] Seq=38 Ack=2 Win=42496 Len=0 TSval=2450143033 TSecr=2178257356"
"21","4.284173462","10.0.0.1","10.0.0.7","iPerf3","70","34892  >  5201 Next message is JSON of this length: 172"
"22","4.284198026","10.0.0.1","10.0.0.7","iPerf3/JSON","238","34892  >  5201 {""tcp"":true,""omit"":0,""time"":150,""num"":0,""blockcount"":0,""parallel"":10,""len"":131072,""bandwidth"":10000000,""pacing_timer"":1000,""congestion"":""highspeed"",""client_version"":""3.16""}, JSON"
"23","4.284279165","10.0.0.7","10.0.0.1","TCP","66","5201  >  34892 [ACK] Seq=2 Ack=214 Win=43520 Len=0 TSval=2178257356 TSecr=2450143033"
"24","4.284363520","10.0.0.7","10.0.0.1","iPerf3","67","5201  >  34892 CREATE_STREAMS(10)"
"25","4.284436974","10.0.0.1","10.0.0.7","TCP","74","34908  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2450143033 TSecr=0 WS=512"
"26","4.284475470","10.0.0.7","10.0.0.1","TCP","74","5201  >  34908 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2178257356 TSecr=2450143033 WS=512"
"27","4.284492821","10.0.0.1","10.0.0.7","TCP","66","34908  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2450143033 TSecr=2178257356"
"28","4.284526478","10.0.0.1","10.0.0.7","iPerf3","103","34908  >  5201 Cookie: ""ntz5fjhsmibtpqtgedvpnmwlqyejzjeo3s22"""
"29","4.284547227","10.0.0.7","10.0.0.1","TCP","66","5201  >  34908 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2178257356 TSecr=2450143033"
