"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","fe80::493f:17d2:bdb8:fde3","ff02::2","ICMPv6","62","Router Solicitation"
"2","0.184510907","fe80::10b6:3bff:fe95:46b4","ff02::2","ICMPv6","70","Router Solicitation from 12:b6:3b:95:46:b4"
"3","0.184847148","fe80::b872:9bff:fe67:161f","ff02::2","ICMPv6","70","Router Solicitation from ba:72:9b:67:16:1f"
"4","1.720224420","fe80::30db:daff:fed1:b0d2","ff02::2","ICMPv6","70","Router Solicitation from 32:db:da:d1:b0:d2"
"5","3.083348974","fe80::493f:17d2:bdb8:fde3","ff02::fb","MDNS","203","Standard query 0x0000 PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question"
"6","4.281273639","fe80::7c1b:3ff:fe5e:2557","ff02::2","ICMPv6","70","Router Solicitation from 7e:1b:03:5e:25:57"
"7","4.527079138","0.0.0.0","255.255.255.255","DHCP","334","DHCP Discover - Transaction ID 0x8cb62d40"
"8","5.305127500","fe80::2436:dfff:fe61:42e4","ff02::2","ICMPv6","70","Router Solicitation from 26:36:df:61:42:e4"
"9","5.817620254","fe80::b483:f3ff:fe17:efa3","ff02::2","ICMPv6","70","Router Solicitation from b6:83:f3:17:ef:a3"
"10","8.888959224","32:db:da:d1:b0:d2","Broadcast","ARP","42","Who has 10.0.0.7? Tell 10.0.0.1"
"11","8.889346208","7e:1b:03:5e:25:57","Broadcast","ARP","42","Who has 10.0.0.7? Tell 10.0.0.3"
"12","8.889974652","b6:83:f3:17:ef:a3","32:db:da:d1:b0:d2","ARP","42","10.0.0.7 is at b6:83:f3:17:ef:a3"
"13","8.889985019","10.0.0.1","10.0.0.7","TCP","74","51790  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2450933373 TSecr=0 WS=512"
"14","8.890107485","ba:72:9b:67:16:1f","Broadcast","ARP","42","Who has 10.0.0.7? Tell 10.0.0.4"
"15","8.890988286","10.0.0.7","10.0.0.1","TCP","74","5201  >  51790 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2179047698 TSecr=2450933373 WS=512"
"16","8.891022959","10.0.0.1","10.0.0.7","TCP","66","51790  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2450933375 TSecr=2179047698"
"17","8.891071687","10.0.0.1","10.0.0.7","iPerf3","103","51790  >  5201 Cookie: ""4outziwlpbaaffnmlq2ny5x25tmtjv7orv5o"""
"18","8.891119119","10.0.0.7","10.0.0.1","TCP","66","5201  >  51790 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2179047699 TSecr=2450933376"
"19","8.891151441","10.0.0.7","10.0.0.1","iPerf3","67","5201  >  51790 PARAM_EXCHANGE(9)"
"20","8.891163681","10.0.0.1","10.0.0.7","TCP","66","51790  >  5201 [ACK] Seq=38 Ack=2 Win=42496 Len=0 TSval=2450933376 TSecr=2179047699"
"21","8.891212083","10.0.0.1","10.0.0.7","iPerf3","70","51790  >  5201 Next message is JSON of this length: 166"
"22","8.891241431","10.0.0.1","10.0.0.7","iPerf3/JSON","232","51790  >  5201 {""tcp"":true,""omit"":0,""time"":150,""num"":0,""blockcount"":0,""parallel"":10,""len"":131072,""bandwidth"":10000000,""pacing_timer"":1000,""congestion"":""bic"",""client_version"":""3.16""}, JSON"
"23","8.891329138","10.0.0.7","10.0.0.1","TCP","66","5201  >  51790 [ACK] Seq=2 Ack=208 Win=43520 Len=0 TSval=2179047699 TSecr=2450933376"
"24","8.891416749","10.0.0.7","10.0.0.1","iPerf3","67","5201  >  51790 CREATE_STREAMS(10)"
"25","8.891489262","10.0.0.1","10.0.0.7","TCP","74","51798  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2450933376 TSecr=0 WS=512"
"26","8.891528582","10.0.0.7","10.0.0.1","TCP","74","5201  >  51798 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2179047699 TSecr=2450933376 WS=512"
"27","8.891546207","10.0.0.1","10.0.0.7","TCP","66","51798  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2450933376 TSecr=2179047699"
"28","8.891582860","10.0.0.1","10.0.0.7","iPerf3","103","51798  >  5201 Cookie: ""4outziwlpbaaffnmlq2ny5x25tmtjv7orv5o"""
"29","8.891614909","10.0.0.7","10.0.0.1","TCP","66","5201  >  51798 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2179047699 TSecr=2450933376"
"30","8.898879838","10.0.0.1","10.0.0.7","TCP","74","51806  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2450933383 TSecr=0 WS=512"
"31","8.898945831","10.0.0.7","10.0.0.1","TCP","74","5201  >  51806 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2179047706 TSecr=2450933383 WS=512"
"32","8.898971283","10.0.0.1","10.0.0.7","TCP","66","51806  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2450933383 TSecr=2179047706"
"33","8.899015718","10.0.0.1","10.0.0.7","iPerf3","103","51806  >  5201 Cookie: ""4outziwlpbaaffnmlq2ny5x25tmtjv7orv5o"""
"34","8.899055415","10.0.0.7","10.0.0.1","TCP","66","5201  >  51806 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2179047707 TSecr=2450933383"
"35","8.900533059","10.0.0.1","10.0.0.7","TCP","74","51812  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2450933385 TSecr=0 WS=512"
"36","8.900584702","10.0.0.7","10.0.0.1","TCP","74","5201  >  51812 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2179047708 TSecr=2450933385 WS=512"
"37","8.900605132","10.0.0.1","10.0.0.7","TCP","66","51812  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2450933385 TSecr=2179047708"
"38","8.900647050","10.0.0.1","10.0.0.7","iPerf3","103","51812  >  5201 Cookie: ""4outziwlpbaaffnmlq2ny5x25tmtjv7orv5o"""
"39","8.900673274","10.0.0.7","10.0.0.1","TCP","66","5201  >  51812 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2179047708 TSecr=2450933385"
"40","8.902061803","10.0.0.1","10.0.0.7","TCP","74","51820  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2450933387 TSecr=0 WS=512"
"41","8.902106901","10.0.0.7","10.0.0.1","TCP","74","5201  >  51820 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2179047710 TSecr=2450933387 WS=512"
