"No.","Time","Source","Destination","Protocol","Length","Info"
"37","8.831498629","10.0.0.1","10.0.0.7","TCP","66","50848  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2448808189 TSecr=2176922512"
"38","8.831511146","10.0.0.1","10.0.0.7","iPerf3","103","50848  >  5201 Cookie: ""pk3j3ftk55w32msqsakkuxzroduzvlkq3lea"""
"39","8.831518342","10.0.0.7","10.0.0.1","TCP","66","5201  >  50848 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2176922512 TSecr=2448808189"
"40","8.832030501","10.0.0.1","10.0.0.7","TCP","74","50852  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2448808189 TSecr=0 WS=512"
"41","8.832044341","10.0.0.7","10.0.0.1","TCP","74","5201  >  50852 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2176922512 TSecr=2448808189 WS=512"
"42","8.832049085","10.0.0.1","10.0.0.7","TCP","66","50852  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2448808189 TSecr=2176922512"
"43","8.832059465","10.0.0.1","10.0.0.7","iPerf3","103","50852  >  5201 Cookie: ""pk3j3ftk55w32msqsakkuxzroduzvlkq3lea"""
"44","8.832074132","10.0.0.7","10.0.0.1","TCP","66","5201  >  50852 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2176922512 TSecr=2448808189"
"45","8.833218557","10.0.0.1","10.0.0.7","TCP","74","50866  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2448808190 TSecr=0 WS=512"
"46","8.833276520","10.0.0.7","10.0.0.1","TCP","74","5201  >  50866 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2176922514 TSecr=2448808190 WS=512"
"47","8.833295009","10.0.0.1","10.0.0.7","TCP","66","50866  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2448808191 TSecr=2176922514"
"48","8.833456359","10.0.0.1","10.0.0.7","iPerf3","103","50866  >  5201 Cookie: ""pk3j3ftk55w32msqsakkuxzroduzvlkq3lea"""
"49","8.833525777","10.0.0.7","10.0.0.1","TCP","66","5201  >  50866 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2176922514 TSecr=2448808191"
"50","8.834848464","10.0.0.1","10.0.0.7","TCP","74","50872  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2448808192 TSecr=0 WS=512"
"51","8.834894518","10.0.0.7","10.0.0.1","TCP","74","5201  >  50872 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2176922515 TSecr=2448808192 WS=512"
"52","8.834911746","10.0.0.1","10.0.0.7","TCP","66","50872  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2448808192 TSecr=2176922515"
"53","8.834941589","10.0.0.1","10.0.0.7","iPerf3","103","50872  >  5201 Cookie: ""pk3j3ftk55w32msqsakkuxzroduzvlkq3lea"""
"54","8.834958818","10.0.0.7","10.0.0.1","TCP","66","5201  >  50872 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2176922515 TSecr=2448808192"
"55","8.836059192","10.0.0.1","10.0.0.7","TCP","74","50882  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2448808193 TSecr=0 WS=512"
