frame.time_epoch,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,_ws.col.info
1741712967.217475046,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1321 Ack=1 Win=64256 Len=40 TSval=2606094410 TSecr=4166052330
1741712968.218252354,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1361 Ack=1 Win=64256 Len=40 TSval=2606095411 TSecr=4166053330
1741712969.218788191,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1401 Ack=1 Win=64256 Len=40 TSval=2606096411 TSecr=4166054331
1741712970.219523351,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1441 Ack=1 Win=64256 Len=40 TSval=2606097412 TSecr=4166055331
1741712971.219997920,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1481 Ack=1 Win=64256 Len=40 TSval=2606098412 TSecr=4166056332
1741712972.220353038,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1521 Ack=1 Win=64256 Len=40 TSval=2606099413 TSecr=4166057333
1741712973.220741620,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1561 Ack=1 Win=64256 Len=40 TSval=2606100413 TSecr=4166058333
1741712974.221390126,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1601 Ack=1 Win=64256 Len=40 TSval=2606101414 TSecr=4166059333
1741712975.221864368,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1641 Ack=1 Win=64256 Len=40 TSval=2606102414 TSecr=4166060334
1741712976.222584338,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1681 Ack=1 Win=64256 Len=40 TSval=2606103415 TSecr=4166061334
1741712977.223170342,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1721 Ack=1 Win=64256 Len=40 TSval=2606104416 TSecr=4166062335
1741712978.223782547,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1761 Ack=1 Win=64256 Len=40 TSval=2606105416 TSecr=4166063336
1741712979.224480783,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1801 Ack=1 Win=64256 Len=40 TSval=2606106417 TSecr=4166064336
1741712980.225207286,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1841 Ack=1 Win=64256 Len=40 TSval=2606107418 TSecr=4166065337
1741712981.225815408,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1881 Ack=1 Win=64256 Len=40 TSval=2606108418 TSecr=4166066338
1741712982.226420649,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1921 Ack=1 Win=64256 Len=40 TSval=2606109419 TSecr=4166067338
1741712983.227111163,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1961 Ack=1 Win=64256 Len=40 TSval=2606110420 TSecr=4166068339
1741712984.227867132,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=2001 Ack=1 Win=64256 Len=40 TSval=2606111420 TSecr=4166069340
1741712985.228565827,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=2041 Ack=1 Win=64256 Len=40 TSval=2606112421 TSecr=4166070340
1741712986.229239829,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=2081 Ack=1 Win=64256 Len=40 TSval=2606113422 TSecr=4166071341
1741712987.229791728,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=2121 Ack=1 Win=64256 Len=40 TSval=2606114422 TSecr=4166072342
1741712988.230427507,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=2161 Ack=1 Win=64256 Len=40 TSval=2606115423 TSecr=4166073342
1741712989.231112856,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=2201 Ack=1 Win=64256 Len=40 TSval=2606116424 TSecr=4166074343
1741712990.231826114,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=2241 Ack=1 Win=64256 Len=40 TSval=2606117424 TSecr=4166075344
1741712991.232418279,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=2281 Ack=1 Win=64256 Len=40 TSval=2606118425 TSecr=4166076344
1741712992.232903416,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=2321 Ack=1 Win=64256 Len=40 TSval=2606119425 TSecr=4166077345
1741712993.233539556,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=2361 Ack=1 Win=64256 Len=40 TSval=2606120426 TSecr=4166078345
1741712994.234109578,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=2401 Ack=1 Win=64256 Len=40 TSval=2606121427 TSecr=4166079346
1741712995.234582030,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=2441 Ack=1 Win=64256 Len=40 TSval=2606122427 TSecr=4166080347
1741712996.235017433,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=2481 Ack=1 Win=64256 Len=40 TSval=2606123427 TSecr=4166081347
1741712997.235637553,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=2521 Ack=1 Win=64256 Len=40 TSval=2606124428 TSecr=4166082348
1741712998.236277820,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=2561 Ack=1 Win=64256 Len=40 TSval=2606125429 TSecr=4166083348
1741712999.236996123,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=2601 Ack=1 Win=64256 Len=40 TSval=2606126429 TSecr=4166084349
1741713000.237789005,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=2641 Ack=1 Win=64256 Len=40 TSval=2606127430 TSecr=4166085350
1741713001.238453820,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=2681 Ack=1 Win=64256 Len=40 TSval=2606128431 TSecr=4166086350
1741713002.238940941,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=2721 Ack=1 Win=64256 Len=40 TSval=2606129431 TSecr=4166087351
1741713003.239463798,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=2761 Ack=1 Win=64256 Len=40 TSval=2606130432 TSecr=4166088352
1741713004.240127848,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=2801 Ack=1 Win=64256 Len=40 TSval=2606131433 TSecr=4166089352
1741713005.240733829,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=2841 Ack=1 Win=64256 Len=40 TSval=2606132433 TSecr=4166090353
1741713006.241326165,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=2881 Ack=1 Win=64256 Len=40 TSval=2606133434 TSecr=4166091353
1741713007.241972268,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=2921 Ack=1 Win=64256 Len=40 TSval=2606134434 TSecr=4166092354
1741713008.242744633,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=2961 Ack=1 Win=64256 Len=40 TSval=2606135435 TSecr=4166093355
1741713009.243380075,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=3001 Ack=1 Win=64256 Len=40 TSval=2606136436 TSecr=4166094355
1741713010.244001693,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=3041 Ack=1 Win=64256 Len=40 TSval=2606137436 TSecr=4166095356
1741713011.244660725,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=3081 Ack=1 Win=64256 Len=40 TSval=2606138437 TSecr=4166096357
1741713012.245266541,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=3121 Ack=1 Win=64256 Len=40 TSval=2606139438 TSecr=4166097357
1741713013.245857022,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=3161 Ack=1 Win=64256 Len=40 TSval=2606140438 TSecr=4166098358
1741713014.246353855,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=3201 Ack=1 Win=64256 Len=40 TSval=2606141439 TSecr=4166099358
1741713015.246991214,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=3241 Ack=1 Win=64256 Len=40 TSval=2606142439 TSecr=4166100359
1741713016.247659837,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=3281 Ack=1 Win=64256 Len=40 TSval=2606143440 TSecr=4166101360
